Song;Author_band;Songwriters;Duration;Album;Album_type;No_on_album;Release_date;Link;Lyrics
Blitzkrieg;Blitzkrieg;Ian Jones,Brian Smith,Jim Sirotto;3:35;Creeping Death;Single;3;1984-11-23;https://www.metallica.com/songs/blitzkrieg.html;Let us have peace let us have life,Let us escape the cruel night,Let us have time let the sun shine,Let us beware the deadly sign, ,The day is coming,Armageddon’s near,Inferno coming,Can we survive the blitzkrieg, ,Save us from fate save us from hate,Save ourselves before it’s too late,Come to our need hear our plea,Save ourselves before the earth bleeds, ,The day is dawning,The time is near,Aliens calling,Can we survive the blitzkrieg
Borderline;Thin Lizzy;Phil Lynott,Brian Robertson;;;;;;https://www.metallica.com/songs/borderline.html;Midnight in the big city,At the bar drinking all on my own,Just thinking about that girl and me,How something's going wrong, ,Mister tell me what's my saving grace?,The back room boys,Were all telling me,I'm a borderline case, ,Back on the borderline one more time, ,Seven beers and still sober,It's time to change to something stronger,I cannot take this scene no longer,She could have told me it's all over, ,Back in my home town,The old place is still the same,But time can cast a spell over something,You can't go back again, ,Back on the borderline one more time, ,Mister fill me another,Till I go crazy and it turns my mind around,Just pass that bottle one more time,And slowly drink it down, ,Jeanie can I tell you?,The shame of my disgrace,It's just love or rejection,For this borderline case, ,Back on the borderline one more time, ,I'm on my bended knees crawling,I'm begging you darling
Brandenburg Gate;Metallica;Lou Reed,James Hetfield,Lars Ulrich,Kirk Hammett,Robert Trujillo;4:20;Lulu;Collaborative;1;2011-10-31;https://www.metallica.com/songs/brandenburg-gate.html;I would cut my legs and tits off,When I think of Boris Karloff and Kinski,In the dark of the moon, ,It made me dream of Nosferatu,Trapped on the isle of Doctor Moreau,Oh wouldn’t it be lovely, ,I was thinking Peter Lorre,When things got pretty gory as I,Crossed to the Brandenburg Gate, ,I was feeling snappy perhaps I’d been napping,And I’d just ate,A following heart can tear you apart,On a midnight to 8 shift, ,A graveyard romance can only give one chance,As the tombstones weave and breathe, ,Feeling happy when my heart got beating,On a Sunday afternoon, ,I dreamt of breezes going through the treeses,And stars were still illumed,I have three hearts that I keep apart,Trying to relate,To normal feelings and the nightime reelings,And some absynthe drunk so late, ,The cook got drunk and all the whores they shrunk,Onto the size of dessert plates,But me I’m happy cause I got my little nappy,And some opium to set me straight,I’m just a small town girl who wants to give it a whirl,While my looks still hold me straight, ,Straight up to illusion and fantasy’s fusion,Of reality mixed with drink,I’m just a small town girl who’s gonna give life a whirl,Looking at the Brandenburg Gate
Breadfan;Budgie;Burke Shelley,Tony Bourge,Ray Phillips;5:41;Harvester of Sorrow;Single;2;1988-08-28;https://www.metallica.com/songs/breadfan.html;Breadfan,Open up your mind,Open up your purse,Open up your bones,Never never gonna lose it, ,Breadfan,Take it all away,Never give an inch,Gotta make a mint,Gotta make me a million, ,Breadfan,You got it wrong,Some long time friend’s gonna lose it,In the end who’s a fool, ,Seagull,Give it all away,Stay a bird,Stay a man,Stay a ghost,Stay what you wanna be, ,Loser,Give it all away,Never stay with the winner,With the man,With all the filthy money, ,Come on,Keep it on the side,With a ride,On a record on the top,If you’re gonna be a bad boy, ,Breadfan,You got it wrong,Some long time friend’s gonna lose it,In the end who’s a fool, ,Seagull,Give it all away,Stay a bird,Stay a man,Stay a ghost,Stay what you wanna be, ,Breadfan,Open up your mind,Open up your purse,Open up your bones,Never never gonna lose it, ,Breadfan,Take it all away,Never give an inch,Gotta make a mint,Gotta make me a million, ,Breadfan,You got it wrong,Some long time friend’s gonna lose it,In the end who’s a fool, ,Seagull,Give it all away,Stay a bird,Stay a man,Stay a ghost,Stay what you wanna be
Broken, Beat & Scarred;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Robert Trujillo;6:25;Death Magnetic;Album;3;2008-09-12;https://www.metallica.com/songs/broken-beat-and-scarred.html;You rise,You fall,You’re down then you rise again,What don’t kill ya make ya more strong,Rise fall down rise again,What don’t kill ya make ya more strong,Rise fall down rise again,What don’t kill ya make ya more strong, ,Through black days,Through black nights,Through pitch black insides, ,Breaking your teeth on the hard life comin’,Show your scars,Cutting your feet on the hard earth runnin’,Show your scars,Breaking your life broken beat and scarred,But we die hard, ,The dawn,The death,The fight to the final breath,What don’t kill ya make ya more strong,Dawn death fight final breath,What don’t kill ya make ya more strong,Dawn death fight final breath,What don’t kill ya make ya more strong, ,They scratch me,They scrape me,They cut and rape me, ,Breaking your teeth on the hard life comin’,Show your scars,Cutting your feet on the hard earth runnin’,Show your scars,Breaking your life broken beat and scarred,But we die hard, ,Breaking your teeth on the hard life comin’,Show your scars,Cutting your feet on the hard earth runnin’,Show your scars,Bleeding your soul in a hard luck story,Show your scars,Spilling your blood in the hot sun’s glory,Show your scars,Breaking your life broken beat and scarred,We die hard
Brothers in Arms;Dire Straits;Mark Knopfler;;;;;;https://www.metallica.com/songs/brothers-in-arms.html;These mist covered mountains,Are a home now for me,But my home is the lowlands,And always will be,Someday you’ll return to,Your valleys and your farms,And you’ll no longer burn to be,Brothers in arms, ,Through these fields of destruction,Baptisms of fire,I’ve witnessed your suffering,As the battle raged higher,And though they did hurt me so bad,Through the fear and alarm,You did not desert me,My brothers in arms, ,There are so many different worlds,So many different suns,But we all have just one world,But we live in different ones, ,Now the sun’s gone to hell and,The moon’s riding high,Let me bid you farewell,Every man’s has to die,But it’s written in the starlight,And in the line in your palms,We are fools to make war,On our brothers in arms, ,Yes we’re all fools,Oh we’re all fools,Oh such fools,Yeah we’re fools, ,We’re all fools to make war on our brothers,We’re all fools to make war on our brothers,We’re all fools to make war on our brothers,We’re all fools,We’re all fools,We’re all fools
The Call of Ktulu;Metallica;James Hetfield,Lars Ulrich,Cliff Burton,Dave Mustaine;8:55;Ride the Lightning;Album;8;1984-07-27;https://www.metallica.com/songs/the-call-of-ktulu.html;Instrumental
Carpe Diem Baby;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;6:12;Reload;Album;7;1997-11-18;https://www.metallica.com/songs/carpe-diem-baby.html;Hit dirt,Shake tree,Split sky,Part sea, ,Strip smile,Lose cool,Bleed the day,And break the rule, ,Live win,Dare fail,Eat the dirt,And bite the nail, ,Then make me miss you,Then make me miss you, ,So wash your face away with dirt,It don’t feel good until it hurts,So take this world and shake it,Come squeeze and suck the day,Come carpe diem baby, ,Draw lead,Piss wine,Sink teeth,All mine, ,Stoke fire,Break neck,Suffer through this,Cheat on death, ,Hug the curve,Lose the time,Tear the map,And shoot the sign, ,Then make me miss you,Then make me miss you, ,So wash your face away with dirt,It don’t feel good until it hurts,So take this world and shake it,Come squeeze and suck the day,Come carpe diem baby, ,Live win,Dare fail,Eat dirt,Bite the nail, ,Strip smile,Lose cool,Bleed the day,And break the rule, ,Hug the curve,Lose the time,Tear the map,And shoot the sign, ,Then make me miss you,Then make me miss you, ,So wash your face away with dirt,It don’t feel good until it hurts,So take this world and shake it,Come squeeze and suck the day, ,Come make me miss you,Come carpe diem baby,Come carpe diem baby
The Chase Is Better Than the Catch;Motörhead;Ian Fraser Kilmister,Eddie Clarke,Phil Taylor;;;;;;https://www.metallica.com/songs/the-chase-is-better-than-the-catch.html;You know I’m bad the times I’ve had,I’ve got a bad reputation,I don’t care I get my share,Don’t feel no deprivation,The more I get the better it is,I like it fine like a little whizz,Treat ’em like ladies that’s a fact,You know The Chase Is Better Than The Catch, ,Silver tounged devil demon lech,You know just what I’m doing,I like a little innocent bitch,You know I ain’t just screwing,I love you baby love you too much,I like it fine I feel your touch,But your appearance don’t hold no class,You know The Chase Is Better Than The Catch, ,A little beauty I love you madly,Come on home with me,I know you’re hot I know what you’ve got,You know I want to shake your tree,Come on honey touch me right there,Come on honey don’t you get scared,Come on honey let me get you in the sack,You know The Chase Is Better Than The Catch, ,All right! Let me hear ya!,I can’t hear ya!
Chasing Light;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;6:45;72 Seasons;Album;8;2023-04-14;https://www.metallica.com/songs/chasing-light.html;There’s no light, ,Down and out as darkness falls,So much more than he can take,Shakes the cage in deep withdrawals,Come on give the boy a break, ,Oh he will break,He’s no mistake, ,Chase that light lean on me,Face that fight lean on me,Catch your fall lean on me,End it all lean on me,Struggle on cause without darkness,Without darkness there’s no light, ,Lost his way through wicked streets,But he is someone’s little boy,All the love a young one needs,Thoughtless elders have destroyed, ,It is destroyed,He’s just a boy, ,Chase that light lean on me,Face that fight lean on me,Catch your fall lean on me,End it all lean on me,Struggle on cause without darkness,Without darkness there’s no light, ,One step down,Block it all from view,One step down,With apathy look straight through,One step down,Turn so you won’t see,One step down,He’s just like you and me, ,Chase that light lean on me,Face that fight lean on me,Catch your fall lean on me,End it all lean on me,Struggle on cause without darkness,Without darkness there’s no light, ,There’s no light
Cheat On Me;Metallica;Lou Reed,James Hetfield,Lars Ulrich,Kirk Hammett,Robert Trujillo;11:25;Lulu;Collaborative;6;2011-10-31;https://www.metallica.com/songs/cheat-on-me.html;Why do you cheat on me,Why do I cheat on thee,Why do I cheat on me,Why do I cheat on me, ,I have a passionate heart,It can tear us apart,I have the loves of many men,But I don’t love any of them, ,Why do I cheat on me, ,You have your feelings,I have mine,I spit upon you and change my mind,I have many hearts to break,And many many many more to take, ,Let the light of stars pour out,Like a candle in a spout,Let the wick recede and break,Let the starlight radiate,Why do you cheat on me,Why do I cheat on me,Why do I cheat on thee,Why do I desecrate me,Why do I piss my dreams,That’s because that’s what it is, ,I have the drive,I got the scope,If I if I if I could I give you a rope, ,Your love means zero to me,I’m a passionateless wave upon the sea,Passionateless wave upon the sea,Why why why,Do you cheat on me,Why why why,Do I cheat on thee,Oh why do I cheat on me,Why do I cheat on myself,Well I got nobody else, ,I’m only young once,I want to taste it all and have fun,I have no real feelings in my soul,Where most have passion I got a hole,I really got nobody else, ,I want lovers like the rain,So many of them so much the same,You say you love me I know it’s true,But I I I don’t love you, ,Why do I cheat on me,Why do you cheat on me,Your love means zero to me,A passionateless wave,Your love means zero to me
Clampdown;The Clash;Joe Strummer,Mick Jones;;;;;;https://www.metallica.com/songs/clampdown.html;What are we gonna do now?, ,Taking off his turban they said is this man a Jew?,‘cause they’re working for the clampdown,They put up a poster saying we earn more than you!,When we’re working for the clampdown,We will teach our twisted speech,To the young believers,We will train our blue-eyed men,To be young believers, ,The judge said five to ten but I say double that again,I’m not working for the clampdown,No man born with a living soul,Can be working for the clampdown,Kick over the wall ‘cause government’s to fall,How can you refuse it?,Let fury have the hour anger can be power,D’you know that you can use it?, ,The voices in your head are calling,Stop wasting your time there’s nothing coming,Only a fool would think someone could save you,The men at the factory are old and cunning,You don’t owe nothing so boy get runnin’,It’s the best years of your life they want to steal, ,You grow up and you calm down,You’re working for the clampdown,You start wearing the blue and brown,You’re working for the clampdown,So you got someone to boss around,It makes you feel big now,You drift until you brutalize,Make your first kill now, ,In these days of evil Presidentes,Working for the clampdown,But lately one or two has fully paid their due,For working for the clampdown,Ha! Gitalong! Gitalong! (working for the clampdown),Ha! Gitalong! Gitalong! (working for the clampdown), ,What are we gonna do now?
Commando;The Ramones;Douglas Colvin,John Cummings;1:49;St. Anger (Single);Single;2;2003-06-23;https://www.metallica.com/songs/commando.html;They do their best,They do what they can,They get them ready for Viet Nam, ,From old Hanoi to East Berlin,Commando - involved again, ,They do their best,They do what they can,They get them ready for Viet Nam, ,First rule is: The laws of Germany,Second rule is: Be nice to mommy,Third rule is: Don’t talk to commies,Fourth rule is: Eat kosher salamis, ,They do their best,They do what they can,They get them ready for Viet Nam, ,From old Hanoi to East Berlin,Commando - involved again, ,They do their best,They do what they can,They get them ready for Viet Nam, ,First rule is: The laws of Germany,Second rule is: Be nice to mommy,Third rule is: Don’t talk to commies,Fourth rule is: Eat kosher salamis
Confusion;Metallica;James Hetfield,Lars Ulrich;6:43;Hardwired... to Self-Destruct;Album;7;2016-11-18;https://www.metallica.com/songs/confusion.html;Wake to face the day,Grab this life and walk away,War is never done,Rub the patch and battle on,Make it go away,Please make it go away, ,Confusion,All sanity is now beyond me,Delusion,All sanity is but a memory,My life…,The war that never ends, ,Leave the battlefield,Yet its horrors never heal,Coming home from war,Pieces don’t fit anymore,Make it go away,Please make it go away, ,Confusion,All sanity is now beyond me,Delusion,All sanity is but a memory,My life…,The war that never ends, ,Father please come home,Shell shocked all I’ve known,Father please come home, ,Label him a deadwood soldier now,Cast away and left to roam,Rapid is the road to sacrifice,Just takes longer to come home, ,Confusion,All sanity is now beyond me,Delusion,Crossfire ricochets inside me,Trapped in a memory forever,My Life…,The war that never ends
Crash Course in Brain Surgery;Budgie;Burke Shelley,Tony Bourge,Ray Phillips;3:10;The $5.98 E.P. – Garage Days Re-Revisited;Covers EP;4;1987-08-21;https://www.metallica.com/songs/crash-course-in-brain-surgery.html;Look inside and you will see,The words are cutting deep inside my brain,Thunder burnin’ quickly burning,Knife of words is driving me insane, ,Raven black is on my track,He shows me how to neutralize the knife,Show to me in surgery,The art of fighting words to conquer life, ,Oh baby,Rock ’n’ roll,Oh no,Ohhh, ,Now the wicked lance of fear,Is driving from my heady mountain brain,Crash course in brain surgery,Has stopped the bloody knife of words again
Creeping Death;Metallica;James Hetfield,Lars Ulrich,Cliff Burton,Kirk Hammett;6:36;Ride the Lightning;Album;7;1984-07-27;https://www.metallica.com/songs/creeping-death.html;Slaves,Hebrews born to serve to the pharaoh,Heed,To his every word live in fear,Faith,Of the unknown one the deliverer,Wait,Something must be done four hundred years, ,So let it be written,So let it be done,I’m sent here by the chosen one,So let it be written,So let it be done,To kill the first born pharaoh son,I’m creeping death, ,Now,Let my people go land of Goshen,Go,I will be with thee bush of fire,Blood,Running red and strong down the Nile,Plague,Darkness three days long hail to fire, ,So let it be written,So let it be done,I’m sent here by the chosen one,So let it be written,So let it be done,To kill the first born pharaoh son,I’m creeping death, ,Die by my hand,I creep across the land,Killing first-born man, ,Die by my hand,I creep across the land,Killing first-born man, ,I,Rule the midnight air the destroyer,Born,I shall soon be there deadly mass,I,Creep the steps and floor final darkness,Blood,Lamb’s blood painted door I shall pass, ,So let it be written,So let it be done,I’m sent here by the chosen one,So let it be written,So let it be done,To kill the first born pharaoh son,I’m creeping death
Cretin Hop;The Ramones;Jeffrey Hyman,John Cummings,Douglas Colvin,Thomas Erdelyi;1:56;St. Anger (Single);Single;3;2003-06-23;https://www.metallica.com/songs/cretin-hop.html;There’s no stoppin’ the cretins from hoppin’,You gotta keep it beatin’,For all the hoppin’ cretins, ,Cretin,Cretin, ,I’m gonna go for a whirl with my cretin girl,My feet won’t stop,Doin’ the Cretin Hop, ,Cretin,Cretin, ,1-2-3-4,Cretins wanna hop some more,4-5-6-7,All good cretins go to heaven, ,There’s no stoppin’ the cretins from hoppin’,You gotta keep it beatin’,For all the hoppin’ cretins, ,Cretin,Cretin, ,I’m gonna go for a whirl with my cretin girl,My feet won’t stop,Doin’ the Cretin Hop, ,Cretin,Cretin, ,1-2-3-4,Cretins wanna hop some more,4-5-6-7,All good cretins go to heaven
Crown of Barbed Wire;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;5:49;72 Seasons;Album;7;2023-04-14;https://www.metallica.com/songs/crown-of-barbed-wire.html;So tight this crown of barbed wire,Its destiny I wear,It splits the skin to the soul,This jagged wreath I bear, ,This rusted empire I own,Bleed as I rust on this throne,Pierce,Me,With torment,And all the rust that I own, ,So tight,This crown of barbed wire,So tight,This crown of barbed wire,So tight this crown, ,Fist tight it stains conviction,Drips down to bloodshot eyes,It crushes down what is real,Deep crimson blots the skies, ,This rusted empire I own,Bleed as I rust on this throne,Pierce,Me,With torment,And all the rust that I own, ,So tight,This crown of barbed wire,So tight,This crown of barbed wire,So tight this crown, ,This rusted empire I own,Bleed as I rust on this throne,Pierce,Me,With torment,And all the rust that I own, ,So tight,This crown of barbed wire,So tight,This crown of barbed wire,So tight this crown
